Species,Mean Coverage,STDev
Fervidobacterium_pennivorans_DSM_9078_1,1352.543,124.172
Fervidobacterium_pennivorans_DSM_9078_2,1352.4,126.184
Desulfosporosinus_acidiphilus_SJ4_DSM_22704_1,806.932,401.465
Desulfosporosinus_acidiphilus_SJ4_DSM_22704_2,803.803,399.869
Spirochaeta_smaragdinae_DSM_11293_1,625.411,176.889
Spirochaeta_smaragdinae_DSM_11293_2,621.76,175.557
Meiothermus_silvanus_DSM_9946_1,618.385,172.51
Meiothermus_silvanus_DSM_9946_2,615.522,176.963
Hirschia_baltica_ATCC_49814_1,588.666,103.261
Hirschia_baltica_ATCC_49814_2,585.471,100.437
Thermobacillus_composti_KWC4_1,527.918,171.498
Thermobacillus_composti_KWC4_2,523.912,171.477
Desulfotomaculum_gibsoniae_DSM_7213_1,375.911,98.186
Desulfotomaculum_gibsoniae_DSM_7213_2,374.066,96.594
Frateuria_aurantia_DSM_6220_1,289.719,129.251
Olsenella_uli_DSM_7084_1,287.16,155.265
Frateuria_aurantia_DSM_6220_2,287.101,125.94
Olsenella_uli_DSM_7084_2,284.827,150.6
Desulfosporosinus_meridiei_DSM_13257_1,269.764,148.092
Desulfosporosinus_meridiei_DSM_13257_2,268.115,146.108
Natronococcus_occultus_DSM_3396_1,236.957,85.57
Natronococcus_occultus_DSM_3396_2,233.701,84.424
Coraliomargarita_akajimensis_DSM_45221_1,232.905,41.027
Coraliomargarita_akajimensis_DSM_45221_2,231.303,39.925
Natronobacterium_gregoryi_SP2_1,206.558,49.333
Natronobacterium_gregoryi_SP2_2,202.782,47.888
Halovivax_ruber_XH-70_1,168.307,45.8
Halovivax_ruber_XH-70_2,164.883,44.226
Terriglobus_roseus_DSM_18391_1,122.729,104.581
Terriglobus_roseus_DSM_18391_2,121.561,101.787
Segniliparus_rotundus_DSM_44985_1,120.28,90.164
Segniliparus_rotundus_DSM_44985_2,118.95,86.799
Pseudomonas_stutzeri_RCH2_1,97.288,102.143
Pseudomonas_stutzeri_RCH2_2,96.264,100.302
Streptococcus_pyogenes_M1_GAS_1,77.209,139.341
Streptococcus_pyogenes_M1_GAS_2,76.401,134.952
Clostridium_perfringensATCC_13124_1,43.728,133.043
Clostridium_perfringensATCC_13124_2,43.535,128.752
Salmonella_enterica_subsp._arizonae_serovar_62_z4_z23_-_strain_RSK2980_1,42.371,71.23
Salmonella_enterica_subsp._arizonae_serovar_62_z4_z23_-_strain_RSK2980_2,41.804,69.034
Clostridium_thermocellumVPI_7372_ATCC_27405_1,39.439,142.202
Clostridium_thermocellumVPI_7372_ATCC_27405_2,39.031,137.464
Salmonella_bongori_NCTC_12419_1,36.617,82.012
Salmonella_bongori_NCTC_12419_2,35.825,79.392
Echinicola_vietnamensis_DSM_17526_1,30.436,44.924
Corynebacterium_glutamicum_ATCC_13032_1,30.393,63.197
Echinicola_vietnamensis_DSM_17526_2,30.273,43.914
Corynebacterium_glutamicum_ATCC_13032_2,29.962,61.185
E.coli_K12_ATCC_700926_1,24.6,79.948
E.coli_K12_ATCC_700926_2,24.09,77.285
Nocardiopsis_dassonvillei_DSM_43111_1,4.317,46.727
Nocardiopsis_dassonvillei_DSM_43111_2,4.086,45.035
